Target,4255 Hampton Ave,Saint Louis,63109,MO,Department Stores,38.59254,-90.29557
JCPenney,50 Hampton Village Plaza,Saint Louis,63109,MO,Department Stores,38.5916745432144,-90.2925237499457
Burlington Coat Factory,4930 Christy Blvd,Saint Louis,63116,MO,Department Stores,38.5845024,-90.2764454
Big Lots - Saint Louis: Bevo,4930 Christy Blvd,Saint Louis,63116,MO,Department Stores,38.5845024,-90.2764454
Dollar General Stores,6574 Manchester Ave,Saint Louis,63139,MO,Department Stores,38.6193913,-90.2995227
Family Dollar,1549 S Jefferson Ave,Saint Louis,63104,MO,Department Stores,38.6168201133109,-90.220769203607
